section,section_name,check,level,status,n_columns_attempted,n_columns_coerced_ok,n_columns_failed,detail,timestamp,n_columns_imputed,n_high_missing_columns,n_columns_treated,n_rows_dropped,n_columns_with_constraints,n_values_modified,n_columns_consolidated,n_values_consolidated,n_rules_repairable,n_rules_applied,n_rows_repaired,n_features_configured,n_features_success,n_features_error,n_categorical_features,n_one_hot,n_ordinal,n_target,n_rows_changed,n_cells_changed,mode,n_columns_summarized,avg_delta_pct_missing,avg_delta_pct_outliers,config_hash,schema_hash,n_checks_run,n_checks_ok,n_checks_fail,run_status,integrity_index,revalidation_status,n_rows_exported,n_cols_exported,formats,n_columns_visualized,data_readiness_index
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 19:21:22.846780+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 19:21:23.348346+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 19:21:23.636787+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 19:21:23.702670+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 19:21:23.787209+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 19:21:23.829512+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 19:21:24.423823+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 19:21:24.584775+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 19:21:24.660360+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 19:21:24.779537+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 19:21:24.856738+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 19:21:25.371215+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-12-05 19:21:25.464283+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-12-05 19:21:25.570977+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-12-05 19:21:25.729955+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2.6.10,Change log generator,Emit row/column-level before→after change log for selected columns,info,WARN,,,,{},2025-12-05 19:21:25.813129+00:00,,,,,,,,,,,,,,,,,,,0.0,0.0,sampled,,,,,,,,,,,,,,,,
2.6.11,Before/after summary metrics,Compute pre- vs post-clean metrics and deltas for key columns,info,OK,,,,before_after_summary.csv,2025-12-05 19:21:25.904924+00:00,,,,,,,,,,,,,,,,,,,,,,30.0,0.0052061148184959,,,,,,,,,,,,,,
2.6.12,Cleaning metadata & schema version log,"Persist config, schema, version, and integrity metadata for this cleaning run",info,OK,,,,cleaning_metadata.json,2025-12-05 19:21:25.982944+00:00,,,,,,,,,,,,,,,,,,,,,,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,,,
2.6.13,Re-validation pass,Re-run selected Section 2 checks on cleaned dataset to confirm no regressions,info,FAIL,,,,revalidation_summary.csv,2025-12-05 19:21:26.175409+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,34.0,2.0,,,,,,,,
2.6.14,CI/CD integration & automation,Emit run-level operational log and alert signals for CI/CD,info,OK,,,,pipeline_run_log.json,2025-12-05 19:21:26.251313+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,90.0,FAIL,,,,,
2.6.15,Clean data export,Export final cleaned dataset and record hashes for verification,info,OK,,,,"parquet,csv",2025-12-05 19:21:26.519465+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,34.0,"parquet,csv",,
2.6.16,Cleaning impact dashboard,"Visualize before/after distributions, missingness, and outlier changes",info,OK,,,,cleaning_impact_dashboard.html,2025-12-05 19:21:26.604705+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
2.6.17,Data readiness index (composite),Compute 0–100 readiness score from post-clean metrics & revalidation,info,FAIL,,,,data_readiness_index.csv,2025-12-05 19:21:26.741493+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 17:26:52.077306+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 17:26:52.155387+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 17:26:52.258400+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 17:26:52.320032+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 17:26:52.845774+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 17:26:53.017533+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 17:26:53.092231+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 17:26:53.245938+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 17:26:53.290610+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 17:26:53.783820+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 17:26:53.942531+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 17:26:54.021688+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 17:26:54.135670+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 17:26:54.208304+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 17:26:55.096703+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-12-06 17:26:55.361885+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-12-06 17:26:55.473176+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-12-06 17:26:55.603011+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2.6.10,Change log generator,Emit row/column-level before→after change log for selected columns,info,WARN,,,,{},2025-12-06 17:26:55.743694+00:00,,,,,,,,,,,,,,,,,,,0.0,0.0,sampled,,,,,,,,,,,,,,,,
2.6.11,Before/after summary metrics,Compute pre- vs post-clean metrics and deltas for key columns,info,OK,,,,before_after_summary.csv,2025-12-06 17:26:55.867286+00:00,,,,,,,,,,,,,,,,,,,,,,30.0,0.0052061148184959,,,,,,,,,,,,,,
2.6.12,Cleaning metadata & schema version log,"Persist config, schema, version, and integrity metadata for this cleaning run",info,OK,,,,cleaning_metadata.json,2025-12-06 17:26:55.940501+00:00,,,,,,,,,,,,,,,,,,,,,,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,,,
2.6.13,Re-validation pass,Re-run selected Section 2 checks on cleaned dataset to confirm no regressions,info,FAIL,,,,revalidation_summary.csv,2025-12-06 17:26:56.130798+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,34.0,2.0,,,,,,,,
2.6.14,CI/CD integration & automation,Emit run-level operational log and alert signals for CI/CD,info,OK,,,,pipeline_run_log.json,2025-12-06 17:26:56.194972+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,90.0,FAIL,,,,,
2.6.15,Clean data export,Export final cleaned dataset and record hashes for verification,info,OK,,,,"parquet,csv",2025-12-06 17:26:56.448688+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,34.0,"parquet,csv",,
2.6.16,Cleaning impact dashboard,"Visualize before/after distributions, missingness, and outlier changes",info,OK,,,,cleaning_impact_dashboard.html,2025-12-06 17:26:56.536403+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
2.6.17,Data readiness index (composite),Compute 0–100 readiness score from post-clean metrics & revalidation,info,FAIL,,,,data_readiness_index.csv,2025-12-06 17:26:56.609131+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 23:43:16.751519+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 23:43:16.855359+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 23:43:16.962854+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 23:43:17.025532+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 23:43:17.595898+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 23:43:17.800397+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 23:43:17.878980+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 23:43:18.058285+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 23:43:18.114852+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 23:43:18.733418+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 23:43:18.917730+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 23:43:19.016359+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 23:43:19.172162+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 23:43:19.258987+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 23:43:19.778187+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-12-06 23:43:19.944008+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-12-06 23:43:20.234136+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-12-06 23:43:20.369089+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2.6.10,Change log generator,Emit row/column-level before→after change log for selected columns,info,WARN,,,,{},2025-12-06 23:43:20.490208+00:00,,,,,,,,,,,,,,,,,,,0.0,0.0,sampled,,,,,,,,,,,,,,,,
2.6.11,Before/after summary metrics,Compute pre- vs post-clean metrics and deltas for key columns,info,OK,,,,before_after_summary.csv,2025-12-06 23:43:20.580439+00:00,,,,,,,,,,,,,,,,,,,,,,30.0,0.0052061148184959,,,,,,,,,,,,,,
2.6.12,Cleaning metadata & schema version log,"Persist config, schema, version, and integrity metadata for this cleaning run",info,OK,,,,cleaning_metadata.json,2025-12-06 23:43:20.656276+00:00,,,,,,,,,,,,,,,,,,,,,,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,,,
2.6.13,Re-validation pass,Re-run selected Section 2 checks on cleaned dataset to confirm no regressions,info,FAIL,,,,revalidation_summary.csv,2025-12-06 23:43:20.849477+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,34.0,2.0,,,,,,,,
2.6.14,CI/CD integration & automation,Emit run-level operational log and alert signals for CI/CD,info,OK,,,,pipeline_run_log.json,2025-12-06 23:43:20.907823+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,90.0,FAIL,,,,,
2.6.15,Clean data export,Export final cleaned dataset and record hashes for verification,info,OK,,,,"parquet,csv",2025-12-06 23:43:21.146005+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,34.0,"parquet,csv",,
2.6.16,Cleaning impact dashboard,"Visualize before/after distributions, missingness, and outlier changes",info,OK,,,,cleaning_impact_dashboard.html,2025-12-06 23:43:21.234711+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
2.6.17,Data readiness index (composite),Compute 0–100 readiness score from post-clean metrics & revalidation,info,FAIL,,,,data_readiness_index.csv,2025-12-06 23:43:21.303242+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 23:45:10.087102+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 23:45:10.183053+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 23:45:10.420456+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 23:45:10.484698+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 23:45:11.202013+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 23:45:11.429558+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 23:45:11.520438+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 23:45:11.843866+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 23:45:12.098288+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 23:45:12.870347+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-06 23:45:13.085420+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-06 23:45:13.233457+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-06 23:45:13.483938+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-06 23:45:13.675129+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-06 23:45:14.356334+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-12-06 23:45:14.448455+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-12-06 23:45:14.564317+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-12-06 23:45:14.684759+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2.6.10,Change log generator,Emit row/column-level before→after change log for selected columns,info,WARN,,,,{},2025-12-06 23:45:14.832232+00:00,,,,,,,,,,,,,,,,,,,0.0,0.0,sampled,,,,,,,,,,,,,,,,
2.6.11,Before/after summary metrics,Compute pre- vs post-clean metrics and deltas for key columns,info,OK,,,,before_after_summary.csv,2025-12-06 23:45:15.154262+00:00,,,,,,,,,,,,,,,,,,,,,,30.0,0.0052061148184959,,,,,,,,,,,,,,
2.6.12,Cleaning metadata & schema version log,"Persist config, schema, version, and integrity metadata for this cleaning run",info,OK,,,,cleaning_metadata.json,2025-12-06 23:45:15.896514+00:00,,,,,,,,,,,,,,,,,,,,,,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,,,
2.6.13,Re-validation pass,Re-run selected Section 2 checks on cleaned dataset to confirm no regressions,info,FAIL,,,,revalidation_summary.csv,2025-12-06 23:45:16.436457+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,34.0,2.0,,,,,,,,
2.6.14,CI/CD integration & automation,Emit run-level operational log and alert signals for CI/CD,info,OK,,,,pipeline_run_log.json,2025-12-06 23:45:16.498844+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,90.0,FAIL,,,,,
2.6.15,Clean data export,Export final cleaned dataset and record hashes for verification,info,OK,,,,"parquet,csv",2025-12-06 23:45:16.815132+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,34.0,"parquet,csv",,
2.6.16,Cleaning impact dashboard,"Visualize before/after distributions, missingness, and outlier changes",info,OK,,,,cleaning_impact_dashboard.html,2025-12-06 23:45:16.907950+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
2.6.17,Data readiness index (composite),Compute 0–100 readiness score from post-clean metrics & revalidation,info,FAIL,,,,data_readiness_index.csv,2025-12-06 23:45:16.982692+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,33.0,33.0,0.0,type_coercion_log.csv,2025-12-07 19:39:41.801212+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-07 19:39:41.989811+00:00,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-07 19:39:42.398777+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-07 19:39:42.580530+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,OK,,,,category_consolidation_map.json,2025-12-07 19:39:42.718525+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,33.0,33.0,0.0,type_coercion_log.csv,2025-12-07 19:39:42.915220+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-07 19:39:43.038324+00:00,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-07 19:39:43.328424+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
