apply_coercion,check,dataset_version_id,delta_threshold,detail,dtype_after_enforce,encoded_target,full_row_dupes,git_hash,has_full_dupes,imbalance_ratio,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,n_actual,n_anomalous_buckets,n_applied,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_constant_cols,n_continuous,n_critical,n_datetime,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features_checked,n_flags,n_hard_rules,n_high_card_cols,n_high_cv,n_high_outlier_cols,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_invalid_raw,n_invalid_target_vals,n_mismatched,n_missing,n_neg,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_with_rules,n_ok,n_pairs_anomalous,n_pairs_checked,n_pos,n_preview_cols,n_preview_rows,n_protected,n_protected_columns,n_renamed_pairs,n_required,n_rows,n_rules,n_soft_rules,n_target,n_time_outliers,n_unassigned,n_unexpected,n_valid_ok,n_warn,n_zero_inflated,overall_null_pct,pct_invalid_raw,raw_target_col,raw_target_column,section,section_name,status,target_column,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,window_size
,ID & key field verification,,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,OK,,,,2025-11-28 21:22:41.014561,,,,
,Special-case numeric flags,,,Detected 1 special numeric flag column(s); written to special_numeric_flags.csv.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.3,Special-case numeric flag registration,OK,,,,2025-11-28 21:22:41.060510,,,,
,Duplicate audit,,,Duplicate audit written to duplicate_audit_report.csv; 0 full-row duplicates detected.,,,0.0,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,Duplicate & record-level consistency audit,OK,,,,2025-11-28 21:22:41.133726,,,,
,Duplicate audit preview,,,Duplicate preview sample written to 2.1.4_duplicate_audit_sample.csv with 0 rows.,,,,,0.0,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,2.1.4.5.5,Duplicate audit preview & sample export,OK,,,,2025-11-28 21:22:41.207677,,,,
,Schema-driven dtype enforcement and baseline capture,,,Baseline: dtype_baseline_report.csv; Enforcement: dtype_enforcement_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.5,Column-type enforcement & dtype baseline snapshot,SKIP,,,,2025-11-28 21:22:41.271304,,,,
,Compare df columns to EXPECTED_SCHEMA_COLUMNS / SCHEMA_EXPECTED_DTYPES,,,Column comparison: schema_column_comparison.csv; Drift summary: schema_drift_report.csv,,,,,,,info,,,,,22.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,22.0,,,,,,,,2.1.6,Structural drift detection & expected schema comparison,SKIP,,,,2025-11-28 21:22:41.343048,,,,
,Feature roles & groups catalog,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_7.yaml,,,,,,,info,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,0.0,,,,,,,,,2.1.7,Column role classification & feature group registration,OK,,,,2025-11-28 21:22:41.455035,,,,
,Column-level missingness baseline,,,Missingness baseline: missingness_baseline.csv,,,,,,,info,,0.1562,TotalCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071,,,,2.1.8,Missingness baseline (pre-coercion),OK,,,,2025-11-28 21:22:41.621075,,,,
,Binary vs continuous numeric classification,,,Audit written to binary_continuous_audit.csv,,,,,,,info,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.9,Binary vs continuous feature audit,OK,,,,2025-11-28 21:22:41.673726,,,,
,Per-column cardinality overview,,,Cardinality summary written to feature_cardinality_summary.csv,,,,,,,info,7043.0,,,,,,,,,,,,,,,,,22.0,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.10,Feature cardinality summary,OK,,,,2025-11-28 21:22:41.771218,,,,
,Merged schema consistency snapshot,,,Schema consistency report written to schema_consistency_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.11,Structural summary report (Section 2.1),OK,,,,2025-11-28 21:22:41.913996,,,,
,Column type detection summary & type map artifact,,,Type map → column_type_map.json; summary → type_detection_summary.csv,,,,,,,info,,,,,,,,,,,,,5.0,,,12.0,,22.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.1,Auto-detect data types,OK,,,,2025-11-29 05:22:42.451716+00:00,,,,
0.0,Coerce numeric/datetime-like strings with audit log,,,Coercion log → coercion_log.csv; df mutated only when APPLY_COERCION=True & success is high,,,,,,,info,,,,,,,0.0,0.0,,,,,,,,,,22.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.2,Coercion attempt & logging,OK,,,,2025-11-29 05:22:42.625636+00:00,,,,
,Detect binary-like columns and flag semantics,,,Binary catalog → binary_field_report.csv; feeds downstream numeric/categorical checks,,,,,,,info,,,,,,,,,,8.0,6.0,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.3,Binary field detection,OK,,,,2025-11-29 05:22:42.794359+00:00,,,,
,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,OK,,,,2025-11-29 05:22:43.290145+00:00,,,,
,"Ensure target flag exists, is 0/1, and matches raw label",,,target_field_validation.csv; type map updated at column_type_map.json,Int8,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,Churn,2.2.5,Churn flag validation,OK,Churn_flag,,,2025-11-29 05:22:43.379908+00:00,,,,
,Persist ID/protected contracts for downstream steps,,,protected_columns.json; id_protected_registry.csv; type map updated at column_type_map.json,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.2.6,ID & protected columns registration,OK,,,,2025-11-29 05:22:43.440075+00:00,,,,
,Assign each column into numeric/categorical/binary/id/target groups,,,feature_group_registry.csv; type map updated at column_type_map.json,,,,,,,info,,,,,,,,,7.0,,,,,,,12.0,,24.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.2.7,Feature group classification,OK,,,,2025-11-29 05:22:43.518137+00:00,,,,
,Plot distribution of column types and feature groups,,,type_distribution_by_feature_group.png under /Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/section2,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.8,Type summary visualization,INFO,,,,2025-11-29 05:22:43.880897+00:00,,,,
,"Numeric dtype validity, nulls & non-finite values",,,numeric_validation_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,2.3.1,Base numeric validation,OK,,,,2025-11-29 05:22:44.000587+00:00,,,,
,Apply min/max domain rules to numeric columns,,,range_violation_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,,2.3.2,Range rule enforcement,OK,,,,2025-11-29 05:22:44.097221+00:00,,,,
,Apply min/max domain rules to numeric columns,,,range_violation_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,2.3.2,Range rule enforcement,OK,,,,2025-11-29 05:22:44.161617+00:00,,,,
,IQR and Z-score based outliers per numeric feature,,,outlier_report_iqr_z.csv,,,,,,,info,,,,16.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.3,Outlier detection (IQR & Z),WARN,,,,2025-11-29 05:22:44.243886+00:00,,,,
,"CV, MAD, entropy, zero/negative %, etc.",,,numeric_metrics_enhanced.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.3.4,Enhanced numeric metrics,WARN,,,,2025-11-29 05:22:44.342507+00:00,,,,
,Merge core numeric validation diagnostics into one table,,,numeric_integrity_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,2.3.5,Aggregated numeric report,OK,,,,2025-11-29 05:22:44.447362+00:00,,,,
,Final per-column numeric snapshot,,,numeric_profile_df.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.6,Unified numeric profile,OK,,,,2025-11-29 05:22:44.517421+00:00,,,,
,Bucketed temporal outliers per numeric feature,,,time_series_outliers.csv under numeric,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.3.7.1,Time-series outliers,SKIP,,M,as_of_date,2025-11-29 05:22:44.621676+00:00,,,,
,Identify periods with cross-metric temporal spikes,,,global_temporal_anomalies.csv under numeric,,,,,,,info,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.7.2,Global temporal anomalies,SKIP,,,,2025-11-29 05:22:44.664883+00:00,,,,
,Detect correlation drift vs baseline,,0.3,correlation_anomalies.csv under numeric,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.3.7.3,Correlation-based anomalies,SKIP,,,,2025-11-29 05:22:44.708005+00:00,,,,3.0
,Assign confidence & hardness to numeric rules,,,rule_confidence_scores.csv under numeric,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,2.3.7.4,Rule confidence scores,SKIP,,,,2025-11-29 05:22:44.763321+00:00,,,,
,Environment & config readiness preflight,,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.0.1,Environment & config readiness preflight,OK,,,,2025-11-28 21:48:30.792192,,,,
,Config & constants validation for Section 2,,,All required config roots present and Section 2 constants registered.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.0.2,Config & constants validation,OK,,,,2025-11-28 21:48:30.994761,,,,
,Section 2 run metadata snapshot,1.0,,Metadata saved to section2_run_metadata.json,,,,46dbdb9fed4e68ae64ccddce5815a1d04529aa11,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,,,,2025-11-28 21:48:31.227203,,,,
,Dataset-level shape & memory snapshot,,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.0.4,Dataset snapshot & preview,OK,,,,2025-11-28 21:48:31.402673,,,6.5061,
,"Overall missingness, dtype distribution, top-N missing columns",,,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,0.0074,,,,2.0.5,Row/Column baseline summary (lightweight),OK,,,,2025-11-28 21:48:31.483237,TotalCharges,0.1562,,
,Config-driven IDs and protected columns snapshot,,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,info,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0.6,ID & protected columns snapshot,OK,,,,2025-11-28 21:48:31.627710,,,,
,Dependency registry build,,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,OK,,,,2025-11-28 21:48:31.780056,,,,
,Sanity preview printout,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,OK,,,,2025-11-28 21:52:13.219799,,,,
,Sanity preview printout,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,OK,,,,2025-11-28 21:52:14.467918,,,,
,Environment & config readiness preflight,,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.0.1,Environment & config readiness preflight,OK,,,,2025-11-28 21:53:06.131736,,,,
,Config & constants validation for Section 2,,,All required config roots present and Section 2 constants registered.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.0.2,Config & constants validation,OK,,,,2025-11-28 21:53:06.245513,,,,
,Section 2 run metadata snapshot,1.0,,Metadata saved to section2_run_metadata.json,,,,46dbdb9fed4e68ae64ccddce5815a1d04529aa11,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,,,,2025-11-28 21:53:06.610479,,,,
,Dataset-level shape & memory snapshot,,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.0.4,Dataset snapshot & preview,OK,,,,2025-11-28 21:53:06.785723,,,6.5061,
,"Overall missingness, dtype distribution, top-N missing columns",,,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,0.0074,,,,2.0.5,Row/Column baseline summary (lightweight),OK,,,,2025-11-28 21:53:06.852132,TotalCharges,0.1562,,
,Config-driven IDs and protected columns snapshot,,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,info,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0.6,ID & protected columns snapshot,OK,,,,2025-11-28 21:53:07.008200,,,,
,Dependency registry build,,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,OK,,,,2025-11-28 21:53:07.462081,,,,
,Sanity preview printout,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,OK,,,,2025-11-28 21:53:07.681177,,,,
,Create Churn_flag and validate raw target labels,,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",,Churn_flag,,,,0.3612,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,5174.0,,,,0.0,,,,,,,,1869.0,,,,,,,7043.0,,,,,,,,,,,0.0,Churn,,2.1.1,Target variable creation & validation,OK,,,,2025-11-28 21:53:07.827003,,,,
,ID & key field verification,,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,OK,,,,2025-11-28 21:53:07.903868,,,,
,Special-case numeric flags,,,Detected 1 special numeric flag column(s); written to special_numeric_flags.csv.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.3,Special-case numeric flag registration,OK,,,,2025-11-28 21:53:07.951897,,,,
,Duplicate audit,,,Duplicate audit written to duplicate_audit_report.csv; 0 full-row duplicates detected.,,,0.0,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,Duplicate & record-level consistency audit,OK,,,,2025-11-28 21:53:08.025233,,,,
,Duplicate audit preview,,,Duplicate preview sample written to 2.1.4_duplicate_audit_sample.csv with 0 rows.,,,,,0.0,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,2.1.4.5.5,Duplicate audit preview & sample export,OK,,,,2025-11-28 21:53:08.092678,,,,
,Schema-driven dtype enforcement and baseline capture,,,Baseline: dtype_baseline_report.csv; Enforcement: dtype_enforcement_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.5,Column-type enforcement & dtype baseline snapshot,SKIP,,,,2025-11-28 21:53:08.166505,,,,
,Compare df columns to EXPECTED_SCHEMA_COLUMNS / SCHEMA_EXPECTED_DTYPES,,,Column comparison: schema_column_comparison.csv; Drift summary: schema_drift_report.csv,,,,,,,info,,,,,22.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,22.0,,,,,,,,2.1.6,Structural drift detection & expected schema comparison,SKIP,,,,2025-11-28 21:53:08.226944,,,,
,Feature roles & groups catalog,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_7.yaml,,,,,,,info,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,0.0,,,,,,,,,2.1.7,Column role classification & feature group registration,OK,,,,2025-11-28 21:53:08.453618,,,,
,Column-level missingness baseline,,,Missingness baseline: missingness_baseline.csv,,,,,,,info,,0.1562,TotalCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071,,,,2.1.8,Missingness baseline (pre-coercion),OK,,,,2025-11-28 21:53:08.650706,,,,
,Binary vs continuous numeric classification,,,Audit written to binary_continuous_audit.csv,,,,,,,info,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.9,Binary vs continuous feature audit,OK,,,,2025-11-28 21:53:08.842583,,,,
,Per-column cardinality overview,,,Cardinality summary written to feature_cardinality_summary.csv,,,,,,,info,7043.0,,,,,,,,,,,,,,,,,22.0,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.10,Feature cardinality summary,OK,,,,2025-11-28 21:53:08.925746,,,,
,Merged schema consistency snapshot,,,Schema consistency report written to schema_consistency_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.11,Structural summary report (Section 2.1),OK,,,,2025-11-28 21:53:09.021385,,,,
,Column type detection summary & type map artifact,,,Type map → column_type_map.json; summary → type_detection_summary.csv,,,,,,,info,,,,,,,,,,,,,5.0,,,12.0,,22.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.1,Auto-detect data types,OK,,,,2025-11-29 05:53:09.436823+00:00,,,,
0.0,Coerce numeric/datetime-like strings with audit log,,,Coercion log → coercion_log.csv; df mutated only when APPLY_COERCION=True & success is high,,,,,,,info,,,,,,,0.0,0.0,,,,,,,,,,22.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.2,Coercion attempt & logging,OK,,,,2025-11-29 05:53:09.537121+00:00,,,,
,Detect binary-like columns and flag semantics,,,Binary catalog → binary_field_report.csv; feeds downstream numeric/categorical checks,,,,,,,info,,,,,,,,,,8.0,6.0,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.3,Binary field detection,OK,,,,2025-11-29 05:53:09.670688+00:00,,,,
,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,OK,,,,2025-11-29 05:53:09.755459+00:00,,,,
,"Ensure target flag exists, is 0/1, and matches raw label",,,target_field_validation.csv; type map updated at column_type_map.json,Int8,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,Churn,2.2.5,Churn flag validation,OK,Churn_flag,,,2025-11-29 05:53:09.856801+00:00,,,,
,Persist ID/protected contracts for downstream steps,,,protected_columns.json; id_protected_registry.csv; type map updated at column_type_map.json,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.2.6,ID & protected columns registration,OK,,,,2025-11-29 05:53:09.911818+00:00,,,,
,Assign each column into numeric/categorical/binary/id/target groups,,,feature_group_registry.csv; type map updated at column_type_map.json,,,,,,,info,,,,,,,,,7.0,,,,,,,12.0,,24.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.2.7,Feature group classification,OK,,,,2025-11-29 05:53:09.982988+00:00,,,,
,Plot distribution of column types and feature groups,,,type_distribution_by_feature_group.png under /Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/section2,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.8,Type summary visualization,INFO,,,,2025-11-29 05:53:10.220672+00:00,,,,
,"Numeric dtype validity, nulls & non-finite values",,,numeric_validation_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,2.3.1,Base numeric validation,OK,,,,2025-11-29 05:53:10.315945+00:00,,,,
,Apply min/max domain rules to numeric columns,,,range_violation_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,,2.3.2,Range rule enforcement,OK,,,,2025-11-29 05:53:10.387379+00:00,,,,
,Apply min/max domain rules to numeric columns,,,range_violation_report.csv,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,2.3.2,Range rule enforcement,OK,,,,2025-11-29 05:53:10.448336+00:00,,,,
