apply_coercion,avg_readiness,check,contracts_hard_fail,dataset_version_id,delta_threshold,detail,drift_high_count,dtype_after_enforce,encoded_target,feature_groups_csv,feature_groups_json,feature_groups_yaml,feature_space_json,feature_space_yaml,full_row_dupes,git_hash,group_counts_json,has_full_dupes,imbalance_ratio,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,max_psi,n_actual,n_anomalies,n_anomalous_buckets,n_applied,n_artifacts_exist,n_artifacts_total,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_columns_coerced_ok,n_columns_scanned,n_columns_with_domains,n_columns_with_invalid_tokens,n_columns_with_unexpected_values,n_constant_cols,n_continuous,n_contracts,n_contracts_fail_hard,n_contracts_warn_soft,n_critical,n_critical_token_columns,n_datetime,n_drift_high,n_drift_medium,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features,n_features_checked,n_features_monitored,n_features_simulated,n_flags,n_groups,n_hard_rules,n_high_bias_risk,n_high_card_cols,n_high_cv,n_high_outlier_cols,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_invalid_raw,n_invalid_target_vals,n_low_readiness,n_mismatched,n_missing,n_neg,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_with_rules,n_ok,n_pairs_anomalous,n_pairs_checked,n_perf_critical,n_perf_warn,n_pos,n_preview_cols,n_preview_rows,n_protected,n_protected_columns,n_red,n_renamed_pairs,n_required,n_rows,n_rules,n_sections,n_sections_fail,n_soft_rules,n_target,n_time_outliers,n_unassigned,n_unexpected,n_unexpected_values_total,n_valid_ok,n_warn,n_yellow,n_zero_inflated,overall_contract_status,overall_null_pct,pct_invalid_raw,raw_target_col,raw_target_column,section,section_name,source_catalog_csv,status,target_column,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,total_runtime_sec,window_size
,,"Aggregate Section 2 statuses, drift, contracts, and performance into a single health view",0.0,,,run_health_summary.csv,0.0,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,0.0,,,,,,,,,,,OK,,,,,2.3.17,Run health summary dashboard,,WARN,,,,2025-12-05 17:22:31.312513+00:00,,,,0.0,
,,"Index all numeric/governance artifacts with existence, size, and timestamps",,,,numeric_artifact_manifest.csv,,,,,,,,,,,,,,info,,,,,,,,,,16.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.18,Numeric artifact manifest,,OK,,,,2025-12-05 17:22:31.381960+00:00,,,,,
,,Scan categorical columns for suspect placeholder / garbage tokens,,,,invalid_tokens.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4.1,Invalid tokens scan,,OK,,,,2025-12-05 17:22:31.595532+00:00,,,,,
,,Scan categorical columns for suspect placeholder / garbage tokens,,,,invalid_tokens.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4.1,Invalid tokens scan,,OK,,,,2025-12-05 17:23:45.998274+00:00,,,,,
,,Compare observed values against configured valid domains,,,,unexpected_values.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.4.2,Unexpected categorical values,,OK,,,,2025-12-05 17:23:48.206646+00:00,,,,,
,,Environment & config readiness preflight,,,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,2.0.1,Environment & config readiness preflight,,OK,,,,2025-12-05 09:23:51.053138,,,,,
,,Config & constants validation for Section 2,,,,All required config roots present and Section 2 constants registered.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2.0.2,Config & constants validation,,OK,,,,2025-12-05 09:23:51.122806,,,,,
,,Section 2 run metadata snapshot,,1.0,,Metadata saved to section2_run_metadata.json,,,,,,,,,,78297e8797c8ec184d354982ff004ca4d11dc728,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,,OK,,,,2025-12-05 09:23:51.279368,,,,,
,,Dataset-level shape & memory snapshot,,,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,2.0.4,Dataset snapshot & preview,,OK,,,,2025-12-05 09:23:51.433573,,,6.5061,,
,,"Overall missingness, dtype distribution, top-N missing columns",,,,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,0.0074,,,,2.0.5,Row/Column baseline summary (lightweight),,OK,,,,2025-12-05 09:23:51.553583,TotalCharges,0.1562,,,
,,Config-driven IDs and protected columns snapshot,,,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0.6,ID & protected columns snapshot,,OK,,,,2025-12-05 09:23:51.718923,,,,,
,,Dependency registry build,,,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,,OK,,,,2025-12-05 09:23:52.162069,,,,,
,,Sanity preview printout,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,,,,2025-12-05 09:23:52.230286,,,,,
,,Sanity preview printout,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,,,,2025-12-05 09:23:52.295519,,,,,
,,Create Churn_flag and validate raw target labels,,,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",,,Churn_flag,,,,,,,,,,0.3612,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,5174.0,,,,0.0,,,,,,,,,,1869.0,,,,,,,,7043.0,,,,,,,,,,,,,,,,0.0,Churn,,2.1.1,Target variable creation & validation,,OK,,,,2025-12-05 09:23:52.389824,,,,,
,,ID & key field verification,,,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,,OK,,,,2025-12-05 09:23:52.456487,,,,,
,,Special-case numeric flags,,,,Detected 1 special numeric flag column(s); written to special_numeric_flags.csv.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.3,Special-case numeric flag registration,,OK,,,,2025-12-05 09:23:52.629297,,,,,
,,Duplicate audit,,,,Duplicate audit written to duplicate_audit_report.csv; 0 full-row duplicates detected.,,,,,,,,,0.0,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,Duplicate & record-level consistency audit,,OK,,,,2025-12-05 09:23:52.695383,,,,,
,,Duplicate audit preview,,,,Duplicate preview sample written to 2.1.4_duplicate_audit_sample.csv with 0 rows.,,,,,,,,,,,,0.0,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4.5.5,Duplicate audit preview & sample export,,OK,,,,2025-12-05 09:23:52.812016,,,,,
,,Feature group catalog (column-level),,,,Feature groups registered for 22 column(s); catalog written to feature_groups_2_1_5.csv.,,,,feature_groups_2_1_5.csv,feature_groups_2_1_5.json,feature_groups_2_1_5.yaml,,,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,0.0,,,,,,,,,,,,2.1.5,Feature group registration,,OK,,,,2025-12-05 09:23:53.180598,,,,,
,,Feature space config (groups → columns),,,,"Feature space scaffolding built from feature_groups_2_1_5.csv; JSON: feature_space_2_1_6.json, YAML: feature_space_2_1_6.yaml.",,,,,,,feature_space_2_1_6.json,feature_space_2_1_6.yaml,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,2.1.6,Feature space scaffolding,feature_groups_2_1_5.csv,OK,,,,2025-12-05 09:23:53.290397,,,,,
,,Schema-driven dtype alignment (read-only),,,,Baseline: dtype_baseline_report.csv; Enforcement: dtype_enforcement_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.7A,Column-type alignment audit (no coercion),,SKIP,,,,2025-12-05 09:23:53.422092,,,,,
,,Apply SCHEMA_EXPECTED_DTYPES to df (mutable),,,,Coercion skipped or no applicable columns.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.7.5,Optional dtype coercion apply phase,,SKIP,,,,2025-12-05 09:23:53.575331,,,,,
,,Compare df columns to EXPECTED_SCHEMA_COLUMNS / SCHEMA_EXPECTED_DTYPES,,,,Column comparison: schema_column_comparison.csv; Drift summary: schema_drift_report.csv,,,,,,,,,,,,,,info,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,22.0,,,,,,,,,,,2.1.6,Structural drift detection & expected schema comparison,,SKIP,,,,2025-12-05 09:23:53.658248,,,,,
,,Feature roles & groups catalog,,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_7.yaml,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,,,,,,,,,,,,2.1.7,Column role classification & feature group registration,,OK,,,,2025-12-05 09:23:53.779301,,,,,
,,Column-level missingness baseline,,,,Missingness baseline: missingness_baseline.csv,,,,,,,,,,,,,,info,,0.1562,TotalCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071,,,,2.1.8,Missingness baseline (pre-coercion),,OK,,,,2025-12-05 09:23:54.038594,,,,,
,,Binary vs continuous numeric classification,,,,Audit written to binary_continuous_audit.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.9,Binary vs continuous feature audit,,OK,,,,2025-12-05 09:23:54.113024,,,,,
,,Per-column cardinality overview,,,,Cardinality summary written to feature_cardinality_summary.csv,,,,,,,,,,,,,,info,7043.0,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.10,Feature cardinality summary,,OK,,,,2025-12-05 09:23:54.238691,,,,,
,,Merged schema consistency snapshot,,,,Schema consistency report written to schema_consistency_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.11,Structural summary report (Section 2.1),,OK,,,,2025-12-05 09:23:54.338225,,,,,
,,Column type detection summary & type map artifact,,,,Type map → column_type_map.json; summary → type_detection_summary.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,5.0,,,12.0,,22.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.1,Auto-detect data types,,OK,,,,2025-12-05 17:23:54.925263+00:00,,,,,
0.0,,Coerce numeric/datetime-like strings with audit log,,,,Coercion log → coercion_log.csv; df mutated only when APPLY_COERCION=True & success is high,,,,,,,,,,,,,,info,,,,,,,,,0.0,,,0.0,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.2,Coercion attempt & logging,,OK,,,,2025-12-05 17:23:55.024745+00:00,,,,,
,,Detect binary-like columns and flag semantics,,,,Binary catalog → binary_field_report.csv; feeds downstream numeric/categorical checks,,,,,,,,,,,,,,info,,,,,,,,,,,,,,8.0,6.0,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.3,Binary field detection,,OK,,,,2025-12-05 17:23:55.181440+00:00,,,,,
,,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,,OK,,,,2025-12-05 17:23:55.302304+00:00,,,,,
,,"Ensure target flag exists, is 0/1, and matches raw label",,,,target_field_validation.csv; type map updated at column_type_map.json,,Int8,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,Churn,2.2.5,Churn flag validation,,OK,Churn_flag,,,2025-12-05 17:23:55.414245+00:00,,,,,
,,Persist ID/protected contracts for downstream steps,,,,protected_columns.json; id_protected_registry.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.2.6,ID & protected columns registration,,OK,,,,2025-12-05 17:23:55.507706+00:00,,,,,
,,Assign each column into numeric/categorical/binary/id/target groups,,,,feature_group_registry.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,7.0,,,,,,,12.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.2.7,Feature group classification,,OK,,,,2025-12-05 17:23:55.637657+00:00,,,,,
,,Plot distribution of column types and feature groups,,,,type_distribution_by_feature_group.png under /Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/section2,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.8,Type summary visualization,,INFO,,,,2025-12-05 17:23:56.042673+00:00,,,,,
,,"Numeric dtype validity, nulls & non-finite values",,,,numeric_validation_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,2.3.1,Base numeric validation,,OK,,,,2025-12-05 17:23:56.179989+00:00,,,,,
,,Apply min/max domain rules to numeric columns,,,,range_violation_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.3.2,Range rule enforcement,,OK,,,,2025-12-05 17:23:56.275219+00:00,,,,,
,,Apply min/max domain rules to numeric columns,,,,range_violation_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.3.2,Range rule enforcement,,OK,,,,2025-12-05 17:23:56.370516+00:00,,,,,
,,IQR and Z-score based outliers per numeric feature,,,,outlier_report_iqr_z.csv,,,,,,,,,,,,,,info,,,,16.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.3,Outlier detection (IQR & Z),,WARN,,,,2025-12-05 17:23:56.465649+00:00,,,,,
,,"CV, MAD, entropy, zero/negative %, etc.",,,,numeric_metrics_enhanced.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.3.4,Enhanced numeric metrics,,WARN,,,,2025-12-05 17:23:56.696800+00:00,,,,,
,,Merge core numeric validation diagnostics into one table,,,,numeric_integrity_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.3.5,Aggregated numeric report,,OK,,,,2025-12-05 17:23:56.871487+00:00,,,,,
,,Final per-column numeric snapshot,,,,numeric_profile_df.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.6,Unified numeric profile,,OK,,,,2025-12-05 17:23:57.060109+00:00,,,,,
,,Bucketed temporal outliers per numeric feature,,,,time_series_outliers.csv under numeric,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.3.7.1,Time-series outliers,,SKIP,,M,as_of_date,2025-12-05 17:23:57.204168+00:00,,,,,
,,Identify periods with cross-metric temporal spikes,,,,global_temporal_anomalies.csv under numeric,,,,,,,,,,,,,,info,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.7.2,Global temporal anomalies,,SKIP,,,,2025-12-05 17:23:57.266669+00:00,,,,,
,,Detect correlation drift vs baseline,,,0.3,correlation_anomalies.csv under numeric,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.7.3,Correlation-based anomalies,,SKIP,,,,2025-12-05 17:23:57.339252+00:00,,,,,3.0
,,Assign confidence & hardness to numeric rules,,,,rule_confidence_scores.csv under numeric,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,2.3.7.4,Rule confidence scores,,SKIP,,,,2025-12-05 17:23:57.423855+00:00,,,,,
,,Per-feature readiness scores based on numeric quality,,,,model_readiness_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.9,Model readiness impact summary,,SKIP,,,,2025-12-05 17:23:57.630455+00:00,,,,,
,,Severity-coded summary for dashboards/alerts,,,,dashboard_alerts.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2.3.10,Dashboard & alert integration,,OK,,,,2025-12-05 17:23:57.693865+00:00,,,,,
,,Lineage record for numeric integrity run,,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,2025-12-05 17:23:57.743631+00:00,,,,,
,,Optional scenario impact simulation,,,,forecast_sensitivity.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.12,Forecast sensitivity preview,,INFO,,,,2025-12-05 17:23:57.807864+00:00,,,,,
,,Relate numeric issues to target & fairness risk,,,,numeric_bias_risk_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.13,Numeric explainability & bias diagnostics,,OK,,,,2025-12-05 17:23:57.961485+00:00,,,,,
,,Store contextual metadata per numeric anomaly (SHAP-ready),,,,anomaly_explainability_index.parquet,,,,,,,,,,,,,,info,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.14,Anomaly explainability index,,OK,,,,2025-12-05 17:23:58.093209+00:00,,,,,
,,Compare numeric distributions vs baseline & emit monitoring artifacts,,,,data_drift_metrics.csv; dashboard_updates.json,,,,,,,,,,,,,,info,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.14,Data drift & monitoring hooks,,OK,,,,2025-12-05 17:23:58.185432+00:00,,,,,
,,Runtime & resource usage across Section 2 checks,,,,performance_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,2.3.15,Cost & performance profiling (Section 2),,OK,,,,2025-12-05 17:23:58.295166+00:00,,,,0.0,
