apply_coercion,avg_readiness,bucket_width,check,dataset_version_id,delta_threshold,detail,details,dtype_after_enforce,encoded_target,feature_groups_csv,feature_groups_json,feature_groups_yaml,feature_space_json,feature_space_yaml,full_row_dupes,git_hash,group_counts_json,has_full_dupes,imbalance_ratio,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,max_psi,n_actual,n_alerts,n_anomalies,n_anomalous_buckets,n_applied,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_columns_coerced_ok,n_constant_cols,n_continuous,n_contracts,n_contracts_fail_hard,n_contracts_warn_soft,n_corr_pairs,n_critical,n_datetime,n_drift_high,n_drift_medium,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features,n_features_checked,n_features_monitored,n_features_simulated,n_flags,n_groups,n_hard_rules,n_high_bias_risk,n_high_card_cols,n_high_cv,n_high_outlier_cols,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_invalid_raw,n_invalid_target_vals,n_low_readiness,n_mismatched,n_missing,n_neg,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_with_rules,n_ok,n_pairs_anomalous,n_pairs_checked,n_perf_critical,n_perf_warn,n_pos,n_preview_cols,n_preview_rows,n_protected,n_protected_columns,n_red,n_renamed_pairs,n_required,n_rows,n_rules,n_sections,n_soft_rules,n_target,n_time_buckets,n_time_outliers,n_unassigned,n_unexpected,n_valid_ok,n_warn,n_yellow,n_zero_inflated,overall_null_pct,pct_invalid_raw,pseudo_time_col,raw_target_col,raw_target_column,section,section_name,source_catalog_csv,status,target_column,temporal_enabled,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,total_runtime_sec,window_size
,,,Store contextual metadata per numeric anomaly (SHAP-ready),,,anomaly_explainability_index.csv,,,,,,,,,,,,,,info,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.14,Anomaly explainability index,,OK,,,,,2025-12-11 21:23:32.369157+00:00,,,,,
,,,Store contextual metadata per numeric anomaly (SHAP-ready),,,anomaly_explainability_index.csv,,,,,,,,,,,,,,info,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.14,Anomaly explainability index,,OK,,,,,2025-12-11 21:24:29.045813+00:00,,,,,
,,,Compare numeric distributions vs baseline & emit monitoring artifacts,,,data_drift_metrics.csv; dashboard_updates.json,,,,,,,,,,,,,,info,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.16,Data drift & monitoring hooks,,OK,,,,,2025-12-11 21:27:17.482944+00:00,,,,,
,,,Runtime & resource usage across Section 2 checks,,,performance_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,2.3.15,Cost & performance profiling (Section 2),,OK,,,,,2025-12-11 21:28:24.499458+00:00,,,,0.0,
,,,Runtime & resource usage across Section 2 checks,,,performance_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,2.3.15,Cost & performance profiling (Section 2),,OK,,,,,2025-12-11 21:29:10.449662+00:00,,,,0.0,
,,,Evaluate configured data contracts against numeric artifacts,,,data_contract_violations.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.16,Data contracts & threshold enforcement,,OK,,,,,2025-12-11 21:30:08.242957+00:00,,,,,
,,,Feature roles & groups catalog,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_9.yaml,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,,,,,,,,,,,2.1.9,Column role classification & feature group registration,,OK,,,,,2025-12-11 21:38:16.319010+00:00,,,,,
,,,Feature roles & groups catalog,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_9.yaml,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,,,,,,,,,,,2.1.9,Column role classification & feature group registration,,OK,,,,,2025-12-11 21:38:50.113685+00:00,,,,,
,,,Feature roles & groups catalog,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_9.yaml,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,,,,,,,,,,,2.1.9,Column role classification & feature group registration,,OK,,,,,2025-12-11 21:38:56.629088+00:00,,,,,
,,,Feature roles & groups catalog,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_9.yaml,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,,,,,,,,,,,2.1.9,Column role classification & feature group registration,,OK,,,,,2025-12-11 21:38:56.629088+00:00,,,,,
,,,Feature roles & groups catalog,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_9.yaml,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,,,,,,,,,,,2.1.9,Column role classification & feature group registration,,OK,,,,,2025-12-11 21:39:24.970118+00:00,,,,,
,,,Column-level missingness baseline,,,Missingness baseline: missingness_baseline.csv,,,,,,,,,,,,,,info,,0.1562,TotalCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065,,,,,2.1.10,Missingness baseline (pre-coercion),,OK,,,,,2025-12-11 13:40:11.424464,,,,,
,,,Binary vs continuous numeric classification,,,Audit written to binary_continuous_audit.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.11,Binary vs continuous feature audit,,OK,,,,,2025-12-11 13:40:54.988571,,,,,
,,,Per-column cardinality overview,,,Cardinality summary written to feature_cardinality_summary.csv,,,,,,,,,,,,,,info,7043.0,,,,,,,,,,,,,,,,,,,,24.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.12,Feature cardinality summary,,OK,,,,,2025-12-11 13:41:43.483951,,,,,
,,,Merged schema consistency snapshot,,,Schema consistency report written to schema_consistency_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.13,Structural summary report (Section 2.1),,OK,,,,,2025-12-11 13:42:18.021128,,,,,
,,,Column type detection summary & type map artifact,,,Type map → column_type_map.json; summary → type_detection_summary.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,6.0,,,13.0,,24.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.1,Auto-detect data types,,OK,,,,,2025-12-11 21:43:39.179225+00:00,,,,,
0.0,,,Coerce numeric/datetime-like strings with audit log,,,Coercion log → coercion_log.csv; df mutated only when APPLY_COERCION=True & success is high,,,,,,,,,,,,,,info,,,,,,,,,,0.0,0.0,,,,,,,,,,24.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.2,Coercion attempt & logging,,OK,,,,,2025-12-11 21:44:50.173810+00:00,,,,,
,,,Detect binary-like columns and flag semantics,,,Binary catalog → binary_field_report.csv; feeds downstream numeric/categorical checks,,,,,,,,,,,,,,info,,,,,,,,,,,,,10.0,8.0,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.3,Binary field detection,,OK,,,,,2025-12-11 21:45:31.588167+00:00,,,,,
,,,Detect binary-like columns and flag semantics,,,Binary catalog → binary_field_report.csv; feeds downstream numeric/categorical checks,,,,,,,,,,,,,,info,,,,,,,,,,,,,10.0,8.0,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,2.2.3,Binary field detection,,,,,,,2025-12-11 21:48:32.760911+00:00,,,,,
,,,Detect binary-like columns and flag semantics,,,Binary catalog → binary_field_report.csv; feeds downstream numeric/categorical checks,,,,,,,,,,,,,,info,,,,,,,,,,,,,10.0,8.0,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,2.2.3,Binary field detection,,,,,,,2025-12-11 21:50:55.700797+00:00,,,,,
,,,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,,OK,,,,,2025-12-11 21:52:12.101110+00:00,,,,,
,,,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,,OK,,,,,2025-12-11 21:52:28.658323+00:00,,,,,
,,,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,,OK,,,,,2025-12-11 21:53:27.347022+00:00,,,,,
,,,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,,OK,,,,,2025-12-11 21:55:26.865029+00:00,,,,,
,,,Assign each column into numeric/categorical/binary/id/target groups,,,feature_group_registry.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,7.0,,,,,,,12.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.2.7,Feature group classification,,OK,,,,,2025-12-11 21:58:01.259345+00:00,,,,,
,,,Plot distribution of column types and feature groups,,,type_distribution_by_feature_group.png under /Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/section2,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.8,Type summary visualization,,INFO,,,,,2025-12-11 21:58:17.600475+00:00,,,,,
,,,Plot distribution of column types and feature groups,,,type_distribution_by_feature_group.png under /Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/section2,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.8,Type summary visualization,,INFO,,,,,2025-12-11 21:58:59.856396+00:00,,,,,
,,,Plot distribution of column types and feature groups,,,type_distribution_by_feature_group.png under /Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/section2,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.8,Type summary visualization,,INFO,,,,,2025-12-11 21:59:22.212395+00:00,,,,,
,,12.0,Simulate temporal behavior using tenure-like buckets,,,Pseudo-temporal profile → pseudo_temporal_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tenure,,,2.3.7.5,Pseudo-temporal profile (tenure buckets),,OK,,,,,2025-12-11 22:01:56.719361+00:00,,,,,
,,12.0,Simulate temporal behavior using tenure-like buckets,,,Pseudo-temporal profile → pseudo_temporal_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tenure,,,2.3.8,Pseudo-temporal profile (tenure buckets),,OK,,,,,2025-12-11 22:02:10.598151+00:00,,,,,
,,,Lineage record for numeric integrity run,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,,2025-12-11 22:03:18.693547+00:00,,,,,
,,,Lineage record for numeric integrity run,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,,2025-12-11 22:03:46.140507+00:00,,,,,
,,,Lineage record for numeric integrity run,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,,2025-12-11 22:03:57.484761+00:00,,,,,
,,,Lineage record for numeric integrity run,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,,2025-12-11 22:04:14.359250+00:00,,,,,
,,,Lineage record for numeric integrity run,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,,2025-12-11 22:04:24.593967+00:00,,,,,
,,,Lineage record for numeric integrity run,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,,2025-12-11 22:04:38.572172+00:00,,,,,
,,,Compare numeric distributions vs baseline & emit monitoring artifacts,,,data_drift_metrics.csv; dashboard_updates.json,,,,,,,,,,,,,,info,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.16,Data drift & monitoring hooks,,OK,,,,,2025-12-11 22:05:34.860200+00:00,,,,,
,,,Runtime & resource usage across Section 2 checks,,,performance_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,2.3.15,Cost & performance profiling (Section 2),,OK,,,,,2025-12-11 22:15:42.278436+00:00,,,,0.0,
,,,Compare numeric distributions vs baseline & emit monitoring artifacts,,,data_drift_metrics.csv; dashboard_updates.json,,,,,,,,,,,,,,info,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.16,Data drift & monitoring hooks,,OK,,,,,2025-12-11 22:16:09.354735+00:00,,,,,
,,,Store contextual metadata per numeric anomaly (SHAP-ready),,,anomaly_explainability_index.csv,,,,,,,,,,,,,,info,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.14,Anomaly explainability index,,OK,,,,,2025-12-11 22:16:22.591314+00:00,,,,,
,,,Store contextual metadata per numeric anomaly (SHAP-ready),,,anomaly_explainability_index.csv,,,,,,,,,,,,,,info,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.14,Anomaly explainability index,,OK,,,,,2025-12-11 22:19:39.813133+00:00,,,,,
